ts,equity,drawdown,regime,gross
2025-05-26T09:00:00+00:00,1.0,0.0,risk_off,0.0
2025-05-26T10:00:00+00:00,1.0,0.0,risk_off,0.0
2025-05-26T11:00:00+00:00,1.0,0.0,risk_off,0.0
2025-05-26T12:00:00+00:00,1.0,0.0,risk_off,0.0
2025-05-26T13:00:00+00:00,1.0,0.0,risk_off,0.0
2025-05-26T14:00:00+00:00,1.0,0.0,risk_off,0.0
2025-05-26T15:00:00+00:00,1.0017853421,0.0,risk_on,0.4
2025-05-26T16:00:00+00:00,0.9981578323,0.003621045,risk_on,0.4
2025-05-26T17:00:00+00:00,0.9961601945,0.0056151227,risk_on,0.4
2025-05-26T18:00:00+00:00,0.9965205145,0.0052554449,risk_on,0.4
2025-05-26T19:00:00+00:00,0.9970893308,0.0046876423,risk_on,0.4
2025-05-26T20:00:00+00:00,0.9999056077,0.0018763844,risk_on,0.4
2025-05-26T21:00:00+00:00,0.9991777741,0.0026029209,risk_on,0.4
2025-05-26T22:00:00+00:00,0.9979342376,0.0038442413,risk_on,0.4
2025-05-26T23:00:00+00:00,0.9990134706,0.0027669316,risk_on,0.4
2025-05-27T00:00:00+00:00,0.997149825,0.0046272559,risk_on,0.4
2025-05-27T01:00:00+00:00,0.9936903648,0.0080805508,risk_on,0.4
2025-05-27T02:00:00+00:00,0.9942681169,0.0075038283,risk_on,0.4
2025-05-27T03:00:00+00:00,0.993671556,0.008099326,risk_off,0.0
2025-05-27T04:00:00+00:00,0.993671556,0.008099326,risk_off,0.0
2025-05-27T05:00:00+00:00,0.993671556,0.008099326,risk_off,0.0
2025-05-27T06:00:00+00:00,0.993671556,0.008099326,risk_off,0.0
2025-05-27T07:00:00+00:00,0.993671556,0.008099326,risk_off,0.0
2025-05-27T08:00:00+00:00,0.993671556,0.008099326,risk_off,0.0
2025-05-27T09:00:00+00:00,0.993671556,0.008099326,risk_off,0.0
2025-05-27T10:00:00+00:00,0.993671556,0.008099326,risk_off,0.0
2025-05-27T11:00:00+00:00,0.993671556,0.008099326,risk_off,0.0
2025-05-27T12:00:00+00:00,0.993429996,0.0083404556,risk_on,0.4
2025-05-27T13:00:00+00:00,0.9949259151,0.0068472024,risk_on,0.4
2025-05-27T14:00:00+00:00,0.9945237015,0.0072486992,risk_on,0.4
2025-05-27T15:00:00+00:00,0.9963254139,0.0054501978,risk_on,0.4
2025-05-27T16:00:00+00:00,0.9965618593,0.0052141737,risk_on,0.4
2025-05-27T17:00:00+00:00,0.9972758761,0.0045014294,risk_on,0.4
2025-05-27T18:00:00+00:00,0.996260035,0.0055154601,risk_on,0.4
2025-05-27T19:00:00+00:00,0.9960548379,0.0057202915,risk_on,0.4
2025-05-27T20:00:00+00:00,0.9951475562,0.0066259563,risk_on,0.4
2025-05-27T21:00:00+00:00,0.9933325971,0.0084376809,risk_on,0.4
2025-05-27T22:00:00+00:00,0.9934189045,0.0083515273,risk_on,0.4
2025-05-27T23:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T00:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T01:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T02:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T03:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T04:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T05:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T06:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T07:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T08:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T09:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T10:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T11:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T12:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T13:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T14:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T15:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T16:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T17:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T18:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T19:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T20:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T21:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T22:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-28T23:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T00:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T01:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T02:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T03:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T04:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T05:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T06:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T07:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T08:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T09:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T10:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T11:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T12:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T13:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T14:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T15:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T16:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T17:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T18:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T19:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T20:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T21:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T22:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-29T23:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T00:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T01:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T02:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T03:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T04:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T05:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T06:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T07:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T08:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T09:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T10:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T11:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T12:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T13:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T14:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T15:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T16:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T17:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T18:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T19:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T20:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T21:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T22:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-30T23:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T00:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T01:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T02:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T03:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T04:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T05:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T06:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T07:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T08:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T09:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T10:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T11:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T12:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T13:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T14:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T15:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T16:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T17:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T18:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T19:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T20:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T21:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T22:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-05-31T23:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T00:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T01:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T02:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T03:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T04:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T05:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T06:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T07:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T08:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T09:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T10:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T11:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T12:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T13:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T14:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T15:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T16:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T17:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T18:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T19:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T20:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T21:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T22:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-01T23:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T00:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T01:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T02:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T03:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T04:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T05:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T06:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T07:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T08:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T09:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T10:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T11:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T12:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T13:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T14:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T15:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T16:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T17:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T18:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T19:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T20:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T21:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T22:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-02T23:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T00:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T01:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T02:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T03:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T04:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T05:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T06:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T07:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T08:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T09:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T10:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T11:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T12:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T13:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T14:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T15:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T16:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T17:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T18:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T19:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T20:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T21:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T22:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-03T23:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T00:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T01:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T02:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T03:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T04:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T05:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T06:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T07:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T08:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T09:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T10:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T11:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T12:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T13:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T14:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T15:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T16:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T17:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T18:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T19:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T20:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T21:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T22:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-04T23:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T00:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T01:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T02:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T03:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T04:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T05:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T06:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T07:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T08:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T09:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T10:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T11:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T12:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T13:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T14:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
2025-06-05T15:00:00+00:00,0.9928228531,0.0089465164,risk_off,0.0
